measurement,peak_start,peak_end,imax,int,int_Imax
i1/A,170,875,2.95688081785804E-05,9.30956580557865E-08,2.39761556639611E-09
i2/A,170,730,2.67699016286391E-05,2.17223298755165E-08,3.34845418897281E-10
i3/A,195,1030,2.21589779268595E-05,7.09731570672171E-08,2.94356088137463E-09
i4/A,180,1045,2.21251828437913E-05,8.01085232333706E-08,5.15060720381784E-09
i5/A,205,900,1.94369192098391E-05,4.79164870229677E-08,1.46734832679284E-09
i6/A,235,1215,1.71968629624253E-05,5.87192438530989E-08,4.78740331914901E-09
i7/A,130,1295,2.57099793097679E-08,-8.41734818584825E-08,2.27846394970795E-12
i8/A,140,1320,4.32055444700709E-08,-9.15689884370663E-08,1.83558782843063E-12
